#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Actinoplanes	globisporus	DSM 43857	NZ_KB903294.1	839401	873277	napaa	false	ε-Poly-L-lysine	100	BGC0002174	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903294.1&start=839401&end=873277
Actinoplanes	globisporus	DSM 43857	NZ_KB903294.1	992045	1048847	hgle-ks nrps indole hybrid	false	fortimicin	13	BGC0000695	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903294.1&start=992045&end=1048847
Actinoplanes	globisporus	DSM 43857	NZ_KB903294.1	1514471	1525296	ripp-like	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin B	33	BGC0001006	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903294.1&start=1514471&end=1525296
Actinoplanes	globisporus	DSM 43857	NZ_KB903301.1	56858	78888	redox-cofactor	false	lankacidin C	20	BGC0001100	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903301.1&start=56858&end=78888
Actinoplanes	globisporus	DSM 43857	NZ_KB903306.1	400667	441735	t3pks	false	loseolamycin A1/loseolamycin A2	56	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903306.1&start=400667&end=441735
Actinoplanes	globisporus	DSM 43857	NZ_KB903314.1	52495	65311	hydrogen-cyanide	false	aborycin	14	BGC0002285	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903314.1&start=52495&end=65311
Actinoplanes	globisporus	DSM 43857	NZ_KB903317.1	216006	227209	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903317.1&start=216006&end=227209
Actinoplanes	globisporus	DSM 43857	NZ_KB903317.1	238406	250278	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903317.1&start=238406&end=250278
Actinoplanes	globisporus	DSM 43857	NZ_KB903327.1	0	59234	nrps nrp-metallophore hybrid	true	albachelin	90	BGC0001211	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903327.1&start=0&end=59234
Actinoplanes	globisporus	DSM 43857	NZ_KB903328.1	160115	181210	rre-containing	false	lasalocid	7	BGC0000087	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903328.1&start=160115&end=181210
Actinoplanes	globisporus	DSM 43857	NZ_KB903333.1	24182	35892	ripp-like	false	rabelomycin/dehydrorabelomycin/fluostatin F/fluostatin G/fluostatin H	3	BGC0000223	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903333.1&start=24182&end=35892
Actinoplanes	globisporus	DSM 43857	NZ_KB903337.1	0	17588	terpene	true	isorenieratene	37	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903337.1&start=0&end=17588
Actinoplanes	globisporus	DSM 43857	NZ_KB903339.1	0	29349	ni-siderophore	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903339.1&start=0&end=29349
Actinoplanes	globisporus	DSM 43857	NZ_KB903357.1	0	23098	redox-cofactor	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KB903357.1&start=0&end=23098
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	142818	163769	terpene	false	tetrachlorizine	13	BGC0002096	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=142818&end=163769
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	306897	331431	ripp-like terpene hybrid	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin B	33	BGC0001006	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=306897&end=331431
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	480344	706271	2dos t1pks nrps-like nrps hybrid	false	quinolidomicin A	77	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=480344&end=706271
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	819445	936846	other t3pks nrps-like t1pks nrps hybrid	false	diazaquinomycin H/diazaquinomycin J	94	BGC0001848	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=819445&end=936846
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	998623	1037681	oligosaccharide terpene hybrid	false	lobosamide A/lobosamide B/lobosamide C	13	BGC0001303	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=998623&end=1037681
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	1080396	1166366	thioamide-nrp ni-siderophore hybrid	false	azicemicin B	13	BGC0000202	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=1080396&end=1166366
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	1276434	1348950	t2pks	false	paramagnetoquinone 1/paramagnetoquinone 2	25	BGC0001730	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=1276434&end=1348950
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	1519286	1540462	terpene	false	nocathiacin	4	BGC0000609	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=1519286&end=1540462
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	1599923	1622539	lanthipeptide-class-iii	false	pentalenolactone	15	BGC0000678	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=1599923&end=1622539
